Method,TimeWindow,auc,nss,kl,cc,sim
Attention CNN + BMS,0.1,0.6728127322483616,0.8387296909273141,6.466652157236939,0.17344293566447022,0.1972930035552845
Attention CNN + BMS,0.2,0.6838995354422216,0.9032024769276606,6.3199253855867985,0.18802009274389783,0.2050937414318694
Attention CNN + BMS,0.30000000000000004,0.6863485663540678,0.9137910986973413,6.2807499203730215,0.1881967938801247,0.20428856982882335
Attention CNN + BMS,0.4,0.6770062381601416,0.8762496074889783,6.387945712935715,0.18153159689708095,0.2011595068303052
Attention CNN + BMS,0.5,0.6778074942502804,0.8979195863891684,6.307053262739391,0.1846079652768997,0.20331237062794272
Attention CNN + SR,0.1,0.806246347369837,1.8651822408610526,1.9054235926895529,0.3640042786958352,0.2581942174302517
Attention CNN + SR,0.2,0.8079500239525654,1.8695621303514678,1.8957681497417345,0.364357429718485,0.2641392023323573
Attention CNN + SR,0.30000000000000004,0.8028775130275463,1.8250735068992365,1.9160149783886202,0.35567269449267924,0.2625862933821102
Attention CNN + SR,0.4,0.8033123515730078,1.8041922201131535,1.9248179253924722,0.35219048260953484,0.26327161050045017
Attention CNN + SR,0.5,0.7954698022507124,1.7455305053387116,1.9655756328983067,0.34299930048500576,0.2584199532476509
CS + HF + BMS,0.1,0.7008228938816831,1.0767029964298955,8.934404781222991,0.20353704347200355,0.18416578641173553
CS + HF + BMS,0.2,0.7028854928525302,1.0776402924453894,8.601468617927837,0.20370385196650354,0.18677696179930714
CS + HF + BMS,0.30000000000000004,0.7059651978607004,1.0540684684117134,8.23482995150147,0.20316385877835197,0.18875894510634442
CS + HF + BMS,0.4,0.7006345410758724,1.038403896348002,8.295381360275078,0.2018959986366185,0.18916092926238912
CS + HF + BMS,0.5,0.6926871221786942,0.9965113117909192,8.25693714260175,0.19252888062018328,0.18473393423254553
CS + HF + SR,0.1,0.816653336619425,1.8032691695572782,3.5205253971757613,0.35952689104533675,0.3121177442858373
CS + HF + SR,0.2,0.8177885209364774,1.821387551220173,3.362277990383002,0.3654261205127641,0.3156852488991082
CS + HF + SR,0.30000000000000004,0.811931991477408,1.76144184223542,3.3075400198404408,0.3551687096194163,0.3096502100897232
CS + HF + SR,0.4,0.8127884632925368,1.7641313534662317,3.2434872525838863,0.3566621671289144,0.3107385147029005
CS + HF + SR,0.5,0.8041159346552124,1.6900533929087198,3.2889193456993517,0.34439284818575905,0.30408651504992745
Original + BMS,0.1,0.6979184379465015,1.098575367793187,8.85933897004887,0.21048027547414694,0.20398349757962744
Original + BMS,0.2,0.7001967678370571,1.1059366410560274,8.43268956843349,0.21269572835698808,0.2058768285478595
Original + BMS,0.30000000000000004,0.702936222636609,1.1082967426486843,8.180091997718039,0.2129519238194286,0.20560018679662007
Original + BMS,0.4,0.6986600461255659,1.0970534046095388,8.108427252565765,0.2119809027369864,0.20641864621982342
Original + BMS,0.5,0.6955920252692548,1.0874509221634898,8.14745389923497,0.2063851580326417,0.20311950473565893
Original + SR,0.1,0.7473175523371484,1.5312387110419492,2.1444397053218767,0.3033682014667046,0.20965748076727633
Original + SR,0.2,0.7625484405325208,1.6174934768472515,2.105074807736511,0.31878446397997906,0.2189122783575944
Original + SR,0.30000000000000004,0.7670433782721646,1.6039745148712257,2.1030339215341876,0.31641847353851416,0.22199189518770068
Original + SR,0.4,0.7700207471938841,1.626965481218884,2.0864432853183215,0.32023513743928483,0.22738270727226273
Original + SR,0.5,0.7681846842467244,1.5942054764367806,2.1123225909353236,0.3141669012530529,0.2266503196171077
