Method,TimeWindow,auc,nss,kl,cc,sim,,,Method,auc,nss,cc,sim
RGB + BMS,0.1,0.697184078,0.920510929,6.508314898,0.17144456,0.200156387,,,RGB + BMS,0.697184078,0.920510929,0.17144456,0.200156387
RGB + BMS,0.2,0.696750083,0.911744913,6.540036979,0.170332325,0.198798484,,,RGB + BMS,0.780739249,1.2557521,0.231762575,0.22452987
RGB + BMS,0.3,0.696823922,0.929060519,6.570427917,0.170474407,0.198506793,,,,,,,
RGB + BMS,0.4,0.695014476,0.901506689,6.602708752,0.166728524,0.196047132,,,,,,,
RGB + BMS,0.5,0.698994243,0.922203375,6.572958436,0.170150515,0.197195545,,,,,,,
RGB + SR,0.1,0.780739249,1.2557521,2.153920417,0.231762575,0.22452987,,,,,,,
RGB + SR,0.2,0.780371763,1.253966723,2.165043442,0.230548306,0.223503422,,,,,,,
RGB + SR,0.3,0.779033623,1.257730939,2.173806989,0.231785036,0.2223384,,,,,,,
RGB + SR,0.4,0.778877645,1.236632108,2.190452131,0.227354174,0.221617756,,,,,,,
RGB + SR,0.5,0.776485143,1.237287809,2.211217458,0.227168669,0.219744893,,,,,,,
