sequence,SR_event_AUCJ_mean,BMS_event_AUCJ_mean,SR_rgb_AUCJ_mean,BMS_rgb_AUCJ_mean
Diving-Side-001,0.8652460546654273,0.7424165242000818,0.875815220504342,0.789136182265278
Diving-Side-002,0.8150547370577415,0.7355258991076759,0.8469413027844026,0.8608429664816588
Diving-Side-003,0.8015117088400905,0.6908579051529645,0.7616958318190655,0.755889360178198
Diving-Side-004,0.8300834637828959,0.7328621439392718,0.8329476389031737,0.774195908227762
Golf-Swing-Back-001,0.6252668478463804,0.596373179027277,0.6093589584263077,0.5657875630053593
Golf-Swing-Back-002,0.5680475819005314,0.5705674739053762,0.5870499538564533,0.5526791941021452
Golf-Swing-Back-003,0.6877343421387148,0.5790918898210692,0.7910462690798132,0.6051253113494076
Golf-Swing-Back-004,0.6520200663439153,0.565009600829267,0.748921621632889,0.5712782216379447
Golf-Swing-Back-005,0.5205867403440239,0.5110955312449885,0.5683973573088937,0.580226145484323
Golf-Swing-Front-001,0.6839310317406643,0.5923402488497093,0.8154012897625719,0.5658175577139745
Kicking-Front-001,0.7197576203034327,0.6269302177442088,0.7222595488908732,0.7862176827799526
Kicking-Front-002,0.7385882253664972,0.6848863554083614,0.7097775035279963,0.7101112905937866
Kicking-Front-003,0.7795066313037583,0.7047746411367247,0.8978436163614208,0.8181551227877576
Kicking-Front-004,0.8219080820902409,0.7683454857236929,0.8975718878657037,0.754275032810547
Kicking-Front-005,0.6197657478771452,0.524686254126247,0.6436954409916864,0.7095760285798606
Kicking-Front-006,0.7115273872356805,0.6866731605612535,0.7279882275371861,0.6949927607933811
Lifting-001,0.8971903692821659,0.8658360974954965,0.8830215825368255,0.8725501704218495
Lifting-002,0.7352869904950591,0.7785993432209364,0.787518578251922,0.8166996255231785
Riding-Horse-001,0.8071237627020081,0.8187814603840531,0.8499720056132722,0.6366074585045701
Riding-Horse-002,0.7328843790492251,0.7610957789321922,0.8393161816887245,0.6194698510267924
Riding-Horse-003,0.7656002544340955,0.7718021749142244,0.8666260571801152,0.6744827315267745
Riding-Horse-004,0.6860837096580815,0.6954354029063942,0.825099944403716,0.6234872857821876
Run-Side-001,0.6849108218298379,0.6728227738295155,0.8868030180928637,0.6927362392220208
Run-Side-002,0.7636273804186322,0.5893393564122178,0.8382242762240848,0.6778120640390447
Run-Side-003,0.8289050463416059,0.6323887681620237,0.8574821875785779,0.7080863270921154
Run-Side-004,0.7694465575560747,0.5212328973003479,0.840714958204891,0.7100210201673551
SkateBoarding-Front-001,0.8706874218564914,0.8330428660405867,0.8157798675414576,0.6352337389735186
SkateBoarding-Front-002,0.7686617415817513,0.7611309082288865,0.7697130197146872,0.6998106954862151
SkateBoarding-Front-003,0.8122901247406048,0.7726546366778957,0.7942745247042885,0.7190174928369943
SkateBoarding-Front-004,0.6203782727965184,0.8154088406071873,0.8889423614293913,0.7993997958713216
Swing-Bench-001,0.8359897145776615,0.7430309626543967,0.7930170993344093,0.6913274077121413
Swing-Bench-002,0.8141377231230132,0.7020445394721723,0.7995036025600357,0.7017721593483802
Swing-Bench-003,0.7850477741166123,0.705694877449307,0.7830798188445683,0.7131172923356142
Swing-Bench-004,0.764785937956306,0.7051789202169659,0.7809187880078141,0.8370835174915633
Swing-Bench-005,0.7755713238882496,0.7274698666478601,0.7724312562165254,0.8170152555779906
Swing-Bench-006,0.681006177705834,0.6351759734683451,0.3798424897035983,0.652373835846795
Swing-SideAngle-001,0.758412817033895,0.7013745764373079,0.7830787927670023,0.7233107961400557
Swing-SideAngle-002,0.8648913430079848,0.8102407591259845,0.6991963407935292,0.7048638802577424
Swing-SideAngle-003,0.8202324813647568,0.7090296817706085,0.7025584495620462,0.6976244677074699
Swing-SideAngle-004,0.8695577308118416,0.780363590822234,0.7414711091134882,0.6839664332107769
Walk-Front-001,0.6869410008122864,0.6058275571325571,0.7462880437729781,0.5454502521637302
Walk-Front-002,0.7427746731362558,0.7362741912411925,0.780074986620983,0.5835102290583236
Walk-Front-003,0.759533845947487,0.8158981563138589,0.9113415414936464,0.757128609537181
Walk-Front-004,0.85092647259612,0.8075893594527869,0.6835879272242845,0.4713171657931983
Walk-Front-005,0.8173778820247354,0.770725612431471,0.9136743155051607,0.7371449289830848
Walk-Front-006,0.7027768272900224,0.7478095997054993,0.897690603168786,0.7090165453459618
Walk-Front-007,0.6730912505051774,0.721318649541564,0.7628046282511393,0.7668477257427541
